id,dataset_name,category,source,last_updated,record_count,file_size_mb,created_at
1,CrimsonSignalTrace_772,Network Logs,Internal Sensor,2025-11-05,338174,1564.02,08:33:53
2,VortexCyberSphere_129,Security Alerts,Endpoint Agent,2025-08-24,744753,4705.31,09:09:56
3,QuantumSecureFlow_587,Network Logs,Open Source,2025-07-08,876554,4294.4,00:30:44
4,EclipseSecureFlow_959,User Activity,Cloud API,2025-07-17,190858,2672.35,06:17:14
5,QuantumDataForge_528,Security Alerts,Open Source,2025-08-19,527722,1496.35,06:25:24
6,EclipsePacketCore_702,Firewall Events,Open Source,2025-10-20,876353,2326.43,20:31:49
7,QuantumIntelHub_193,Network Logs,SIEM System,2025-07-01,372631,1347.76,20:02:40
8,EclipseSecureFlow_193,User Activity,Open Source,2025-10-02,918599,87.28,03:08:29
9,CrimsonLogMatrix_191,Threat Intelligence,SIEM System,2025-09-29,158899,4216.59,02:02:52
10,NebulaRiskVault_573,Firewall Events,Cloud API,2025-09-04,396332,3713.86,12:48:26
11,SpecterDataForge_916,Security Alerts,Internal Sensor,2025-06-02,742881,2893.9,06:06:12
12,VortexRiskVault_244,Firewall Events,Endpoint Agent,2025-10-18,160231,68.05,16:50:26
13,TitanDataForge_945,Firewall Events,Open Source,2025-09-14,248296,4672.81,12:30:12
14,VortexDataForge_498,Threat Intelligence,Endpoint Agent,2025-07-05,160500,4322.33,19:56:32
15,QuantumRiskVault_758,User Activity,SIEM System,2025-11-03,618219,3242.48,18:33:28
16,AegisNetStream_905,Malware Analysis,Cloud API,2025-09-09,79819,155.75,17:49:19
17,TitanNetStream_766,Network Logs,Internal Sensor,2025-09-29,748155,3067.54,09:04:10
18,EclipseThreatGrid_924,Firewall Events,Internal Sensor,2025-06-28,461231,4795.66,10:32:50
19,AegisLogMatrix_847,User Activity,Endpoint Agent,2025-06-01,70678,4173.35,09:37:44
20,TitanThreatGrid_172,Threat Intelligence,Cloud API,2025-09-04,183379,2653.26,08:24:08
21,CrimsonSignalTrace_581,Malware Analysis,SIEM System,2025-10-06,833888,3575.68,21:16:10
22,EclipseIntelHub_670,Security Alerts,Cloud API,2025-08-03,483689,866.53,16:49:56
23,ShadowLogMatrix_156,User Activity,Endpoint Agent,2025-07-09,215754,1092.33,17:48:40
24,AegisSecureFlow_534,Firewall Events,Open Source,2025-10-09,639400,3484.96,23:01:59
25,PhantomThreatGrid_843,User Activity,Internal Sensor,2025-08-11,692443,3335.22,11:34:40
26,EclipseRiskVault_107,Firewall Events,Internal Sensor,2025-09-25,739803,3204.41,11:38:42
27,AegisPacketCore_775,Security Alerts,Firewall Export,2025-06-15,697213,4031.66,14:36:10
28,QuantumLogMatrix_899,Malware Analysis,Open Source,2025-08-11,820904,4260.97,18:38:42
29,AegisRiskVault_765,Network Logs,Cloud API,2025-09-24,148049,1818.47,20:39:11
30,EclipseNetStream_533,Security Alerts,SIEM System,2025-07-04,998435,3012.82,17:14:49
31,AegisThreatGrid_466,User Activity,Cloud API,2025-10-13,85464,730.69,18:47:16
32,SpecterDataForge_682,Network Logs,Cloud API,2025-06-19,707195,1632.73,06:17:54
33,CrimsonPacketCore_410,Malware Analysis,SIEM System,2025-11-17,34126,3048.46,17:11:12
34,SpecterSignalTrace_892,Firewall Events,Open Source,2025-10-01,981684,3134.96,16:10:06
35,CrimsonPacketCore_819,User Activity,Internal Sensor,2025-08-22,375331,1386.14,15:27:20
36,VortexRiskVault_686,User Activity,Open Source,2025-08-19,994634,4664.65,14:02:40
37,ShadowIntelHub_618,Malware Analysis,Endpoint Agent,2025-10-05,394287,3993.52,10:47:40
38,EclipseCyberSphere_616,Malware Analysis,Endpoint Agent,2025-09-17,63781,1942.87,17:49:56
39,QuantumRiskVault_653,Threat Intelligence,Internal Sensor,2025-07-12,551492,4705.41,22:27:40
40,CrimsonSecureFlow_488,Security Alerts,Open Source,2025-08-10,456792,87.7,14:24:46
41,TitanCyberSphere_830,Threat Intelligence,SIEM System,2025-06-26,623810,4326.21,03:05:14
42,QuantumPacketCore_187,User Activity,Internal Sensor,2025-11-25,994428,3123.95,19:30:49
43,EclipseNetStream_953,User Activity,Firewall Export,2025-06-23,722809,282.55,16:57:16
44,VortexSecureFlow_648,Network Logs,Cloud API,2025-06-15,595109,4119.29,22:00:17
45,TitanPacketCore_817,Security Alerts,Endpoint Agent,2025-10-16,174957,4043.04,20:28:56
46,SpecterNetStream_129,User Activity,Cloud API,2025-09-26,311069,2463.34,04:12:28
47,QuantumThreatGrid_616,Network Logs,Internal Sensor,2025-09-28,784439,4687.81,14:21:22
48,CrimsonLogMatrix_215,Firewall Events,Cloud API,2025-07-23,61691,2129.76,15:30:24
49,PhantomSignalTrace_828,User Activity,SIEM System,2025-07-24,984806,3896.63,12:07:12
50,ShadowIntelHub_387,Malware Analysis,Internal Sensor,2025-11-23,850506,378.4,09:04:26
51,CrimsonSecureFlow_797,Network Logs,Open Source,2025-10-31,250860,809.95,17:40:29
52,PhantomSecureFlow_691,Network Logs,Cloud API,2025-09-04,469840,476.38,01:48:40
53,SpecterRiskVault_451,Malware Analysis,Endpoint Agent,2025-09-05,988408,25.36,04:57:08
54,AegisPacketCore_105,Security Alerts,Cloud API,2025-10-24,352581,4959.9,21:28:14
55,QuantumSecureFlow_271,User Activity,Cloud API,2025-06-26,984773,3216.71,20:42:08
56,PhantomThreatGrid_909,Malware Analysis,SIEM System,2025-11-15,296986,3771.65,13:44:32
57,TitanThreatGrid_432,User Activity,Open Source,2025-07-12,31346,302.17,16:09:54
58,AegisSecureFlow_303,Network Logs,Open Source,2025-07-11,583273,3563.57,22:33:07
59,SpecterNetStream_793,Firewall Events,Internal Sensor,2025-07-22,555796,2021.56,20:21:08
60,PhantomCyberSphere_872,User Activity,Cloud API,2025-07-31,238638,2660.55,17:47:00
61,EclipseRiskVault_162,Malware Analysis,Cloud API,2025-09-01,860731,2825.43,19:44:27
62,ShadowNetStream_321,Malware Analysis,Internal Sensor,2025-07-14,335260,200.73,21:20:38
63,VortexRiskVault_525,Network Logs,Open Source,2025-08-08,493774,4395.57,11:28:28
64,NebulaCyberSphere_571,Threat Intelligence,Cloud API,2025-07-10,138311,1861.04,16:54:44
65,CrimsonCyberSphere_558,User Activity,Cloud API,2025-07-27,103717,4385.18,09:19:18
66,ShadowPacketCore_217,Malware Analysis,Firewall Export,2025-10-19,329827,1538.35,09:01:20
67,VortexSignalTrace_685,Network Logs,Open Source,2025-08-16,119531,1405.02,00:21:14
68,PhantomRiskVault_409,Firewall Events,SIEM System,2025-06-14,971788,1957.81,10:24:28
69,QuantumRiskVault_820,Firewall Events,Internal Sensor,2025-11-15,668290,3140.04,19:25:20
70,VortexLogMatrix_897,Network Logs,Internal Sensor,2025-06-04,972213,1908.92,02:26:56
71,CrimsonNetStream_956,User Activity,Internal Sensor,2025-07-26,341573,2118.92,17:20:32
72,ShadowLogMatrix_849,Threat Intelligence,SIEM System,2025-09-02,517215,1555.63,06:30:39
73,PhantomLogMatrix_239,Malware Analysis,Firewall Export,2025-09-28,510875,2713.9,05:28:44
74,EclipseDataForge_982,Firewall Events,SIEM System,2025-08-23,202120,3646.38,15:05:24
75,CrimsonIntelHub_586,Malware Analysis,Endpoint Agent,2025-07-31,745621,3615.49,14:17:04
76,VortexIntelHub_658,Malware Analysis,Open Source,2025-09-14,314087,4212.13,10:57:56
77,TitanDataForge_606,Malware Analysis,Cloud API,2025-07-04,845276,2574.08,17:31:17
78,SpecterNetStream_823,Firewall Events,Open Source,2025-10-22,170439,4752.68,16:24:48
79,CrimsonIntelHub_715,User Activity,Open Source,2025-10-01,226905,1435.3,15:39:24
80,PhantomSignalTrace_202,Threat Intelligence,Internal Sensor,2025-09-05,529635,1988.67,17:30:44
81,SpecterThreatGrid_669,Security Alerts,Open Source,2025-06-10,777982,2247.31,08:23:08
82,ShadowSignalTrace_400,Firewall Events,SIEM System,2025-06-17,626707,3125.48,17:36:54
83,TitanLogMatrix_300,Firewall Events,Endpoint Agent,2025-09-24,234531,1766.33,07:46:02
84,TitanPacketCore_602,Firewall Events,SIEM System,2025-07-11,518534,4885.26,05:08:14
85,CrimsonSignalTrace_795,Firewall Events,Endpoint Agent,2025-08-31,6035,1793.43,16:43:08
86,VortexCyberSphere_520,Threat Intelligence,Cloud API,2025-11-03,823308,4621.19,14:26:39
87,QuantumSignalTrace_700,Security Alerts,SIEM System,2025-11-21,820032,711.81,05:29:41
88,EclipseRiskVault_584,Threat Intelligence,SIEM System,2025-11-19,607137,865.56,00:20:50
89,CrimsonSignalTrace_113,User Activity,Firewall Export,2025-08-15,750135,1276.6,19:45:08
90,VortexLogMatrix_550,Security Alerts,Firewall Export,2025-11-16,306439,4154.44,08:52:04
91,TitanIntelHub_334,Malware Analysis,SIEM System,2025-07-28,249437,4342.67,18:32:14
92,CrimsonSignalTrace_184,Threat Intelligence,Endpoint Agent,2025-07-29,307121,3606.07,10:11:59
93,QuantumThreatGrid_867,Network Logs,Endpoint Agent,2025-09-17,400799,4343.33,21:43:59
94,SpecterLogMatrix_196,Firewall Events,SIEM System,2025-06-22,594603,1194.91,04:14:14
95,ShadowNetStream_928,User Activity,Endpoint Agent,2025-07-08,383926,3994.43,16:17:04
96,AegisIntelHub_958,Malware Analysis,Cloud API,2025-07-19,779147,2001.45,19:54:52
97,CrimsonCyberSphere_903,Firewall Events,Internal Sensor,2025-10-08,322021,3943.89,05:42:39
98,EclipseLogMatrix_668,Malware Analysis,Firewall Export,2025-07-06,463124,4379.23,09:05:05
99,SpecterDataForge_341,Firewall Events,SIEM System,2025-09-24,765706,3950.86,14:30:44
100,TitanLogMatrix_891,User Activity,SIEM System,2025-08-11,491183,1901.26,21:05:50
101,AegisPacketCore_987,User Activity,Firewall Export,2025-06-14,493609,1878.78,00:02:30
102,PhantomPacketCore_856,Firewall Events,Open Source,2025-06-13,967839,1130.52,04:48:05
103,ShadowDataForge_653,Firewall Events,SIEM System,2025-06-03,626712,2222.03,11:10:18
104,EclipseRiskVault_192,Malware Analysis,Internal Sensor,2025-06-06,919626,874.61,01:10:29
105,EclipseRiskVault_444,Network Logs,Cloud API,2025-11-01,25879,960.73,01:18:54
106,PhantomSecureFlow_944,User Activity,Endpoint Agent,2025-07-08,137438,4670.92,06:51:08
107,TitanSignalTrace_525,User Activity,Internal Sensor,2025-09-05,214802,729.51,02:50:14
108,PhantomLogMatrix_142,Firewall Events,Endpoint Agent,2025-09-12,582893,1289.34,05:32:20
109,PhantomDataForge_388,Malware Analysis,Open Source,2025-09-11,170630,338.81,04:45:53
110,ShadowThreatGrid_497,Threat Intelligence,Endpoint Agent,2025-06-25,708170,3862.95,00:26:49
111,QuantumIntelHub_343,Malware Analysis,SIEM System,2025-06-10,833289,1400.25,16:46:19
112,AegisThreatGrid_170,Network Logs,Firewall Export,2025-09-20,285119,2367.56,04:15:32
113,VortexThreatGrid_851,Network Logs,Internal Sensor,2025-06-10,556946,4931.87,17:41:50
114,AegisSignalTrace_201,Security Alerts,Firewall Export,2025-06-04,581355,4290.58,21:57:44
115,EclipseSignalTrace_828,Firewall Events,Cloud API,2025-06-20,138318,437.41,01:51:50
116,ShadowCyberSphere_360,Security Alerts,Cloud API,2025-06-14,462264,3972.58,15:53:46
117,CrimsonPacketCore_891,Network Logs,Firewall Export,2025-08-01,178385,4009.1,04:26:05
118,VortexPacketCore_790,User Activity,SIEM System,2025-08-21,775068,1143.24,02:05:46
119,CrimsonPacketCore_365,Malware Analysis,Endpoint Agent,2025-07-14,365714,2566.14,23:54:23
120,QuantumPacketCore_239,Threat Intelligence,Endpoint Agent,2025-07-11,832394,1173.91,12:06:53
121,TitanSignalTrace_446,Network Logs,Internal Sensor,2025-07-15,999494,1956.1,18:28:04
122,NebulaRiskVault_836,Firewall Events,Firewall Export,2025-10-10,384065,1229.03,07:48:36
123,NebulaRiskVault_282,Security Alerts,Internal Sensor,2025-10-05,21887,2047.06,18:09:23
124,NebulaDataForge_470,Malware Analysis,Firewall Export,2025-06-26,147914,429.54,09:52:20
125,NebulaCyberSphere_508,Malware Analysis,Open Source,2025-10-27,515587,1664.54,07:26:38
126,QuantumIntelHub_930,User Activity,Firewall Export,2025-10-09,492382,4034.27,03:53:08
127,ShadowIntelHub_386,Security Alerts,Internal Sensor,2025-09-08,707971,1073.86,18:23:00
128,NebulaSignalTrace_755,Threat Intelligence,Firewall Export,2025-09-10,597180,1939.78,18:57:00
129,CrimsonIntelHub_776,Network Logs,Cloud API,2025-06-13,464203,2906.26,16:34:24
130,PhantomSignalTrace_628,Network Logs,Internal Sensor,2025-06-25,176754,2661.48,08:40:44
131,ShadowLogMatrix_636,Threat Intelligence,SIEM System,2025-08-26,648200,4419.21,06:54:44
132,PhantomThreatGrid_189,Firewall Events,SIEM System,2025-10-11,741680,3818.36,05:07:49
133,ShadowSecureFlow_654,Threat Intelligence,Internal Sensor,2025-09-05,37541,1835.59,20:18:36
134,TitanLogMatrix_960,Security Alerts,Cloud API,2025-06-30,351290,2987.99,11:59:54
135,ShadowSignalTrace_267,Firewall Events,Internal Sensor,2025-08-09,708600,2532.97,02:28:02
136,EclipseDataForge_941,Malware Analysis,Firewall Export,2025-10-12,165263,1613.61,15:28:53
137,VortexLogMatrix_285,Network Logs,Firewall Export,2025-11-11,759535,3769.54,04:46:08
138,SpecterSignalTrace_190,Security Alerts,Internal Sensor,2025-07-03,594408,348.41,07:04:54
139,AegisLogMatrix_733,Security Alerts,Internal Sensor,2025-07-16,895808,82.49,19:12:04
140,SpecterRiskVault_207,User Activity,SIEM System,2025-08-14,498172,270.22,02:51:44
141,VortexLogMatrix_183,User Activity,Endpoint Agent,2025-09-04,536522,3890.11,17:33:08
142,TitanCyberSphere_301,Network Logs,Cloud API,2025-11-12,633670,2695.81,22:59:08
143,TitanPacketCore_555,Security Alerts,SIEM System,2025-09-06,348261,1740.71,05:27:12
144,VortexSignalTrace_231,Firewall Events,SIEM System,2025-10-31,851753,86.55,09:34:17
145,SpecterIntelHub_781,Firewall Events,Firewall Export,2025-06-18,482463,4517.57,20:52:38
146,NebulaDataForge_819,Malware Analysis,Internal Sensor,2025-11-18,581065,4420.25,01:04:20
147,ShadowIntelHub_928,Network Logs,Internal Sensor,2025-06-27,390803,3637.44,15:19:08
148,TitanIntelHub_358,Firewall Events,Endpoint Agent,2025-07-03,374104,4428.81,08:22:29
149,SpecterLogMatrix_206,Threat Intelligence,Endpoint Agent,2025-06-04,409557,4091.53,12:14:05
150,AegisIntelHub_602,Security Alerts,SIEM System,2025-08-19,396524,4826.68,20:54:08
151,NebulaPacketCore_715,User Activity,SIEM System,2025-06-07,271205,4283.6,05:14:59
152,AegisThreatGrid_824,Network Logs,Endpoint Agent,2025-11-20,485453,2923.62,20:11:50
